Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
46202,3:20-cv-00642-jdp                       ,20,jdp ,2020-07-13,,2 ,2020-08-11,365,28:1332pl ,1,5,n,2020-07-13
46203,3:20-cv-00644-wmc                       ,20,wmc ,2020-07-13,,1 ,2022-02-15,480,15:1692   ,,,n,2020-07-13
46204,3:20-cv-00643-wmc                       ,20,wmc ,2020-07-13,,1 ,2022-09-12,550,42:1983pr ,,,y,2020-07-13
46205,3:20-cv-00645-wmc                       ,20,wmc ,2020-07-13,,1 ,,550,42:1983pr ,,,y,2020-07-13
46206,3:20-cv-00646-wmc                       ,20,wmc ,2020-07-13,,1 ,2021-07-09,864,42:0405id ,,,n,2020-07-13
46207,3:20-cv-00647-jdp                       ,20,jdp ,2020-07-13,,1 ,2022-05-20,550,42:1983pr ,,,y,2020-07-13
46208,3:20-cv-00648-jdp                       ,20,jdp ,2020-07-13,,1 ,2022-09-13,550,28:1983   ,,,y,2020-07-13
46209,3:20-cv-00649-jdp                       ,20,jdp ,2020-07-14,,1 ,2020-08-20,480,15:1692   ,,,n,2020-07-14
46210,3:20-cv-00650-bbc                       ,20,bbc ,2020-07-14,,1 ,2021-08-27,864,42:0405id ,,,n,2020-07-14
46211,3:20-cv-00651-wmc                       ,20,wmc ,2020-07-14,,1 ,2021-08-23,791,29:1132   ,,,n,2020-07-14
46214,3:20-cv-00652-bbc                       ,20,bbc ,2020-07-15,,1 ,2021-03-04,864,42:0405id ,,,n,2020-07-15
46215,3:20-cv-00653-wmc                       ,20,wmc ,2020-07-15,,1 ,2021-07-22,863,42:0405id ,,,n,2020-07-15
46218,3:20-cv-00654-wmc                       ,20,wmc ,2020-07-16,,1 ,2020-10-13,440,28:1441pr ,,,y,2020-07-16
46219,3:20-cv-00655-bbc                       ,20,bbc ,2020-07-17,2021-05-26,4 ,2021-07-07,550,42:1983pr ,,,y,2021-05-26
46219,3:20-cv-00655-bbc                       ,20,bbc ,2020-07-17,2021-05-26,4 ,2021-07-07,550,42:1983pr ,,,y,2021-05-26
46220,3:20-cv-00656-jdp                       ,20,jdp ,2020-07-17,,1 ,2020-07-20,550,28:1331bc ,,,y,2020-07-17
46221,3:20-cv-00657-wmc                       ,20,wmc ,2020-07-17,,5 ,2022-02-07,550,42:1983pr ,,,y,2020-07-17
46222,3:20-cv-00658-jdp                       ,20,jdp ,2020-07-17,,1 ,2022-05-04,440,42:1981cv ,,,n,2020-07-17
46223,3:20-cv-00659-wmc                       ,20,wmc ,2020-07-18,,1 ,,446,42:12101  ,,,n,2020-07-18
46224,3:20-cv-00660-wmc                       ,20,wmc ,2020-07-18,,1 ,,446,42:12101  ,,,n,2020-07-18
46225,3:20-cv-00661-wmc                       ,20,wmc ,2020-07-18,,1 ,,446,42:12101  ,,,n,2020-07-18
46226,3:20-cv-00662-wmc                       ,20,wmc ,2020-07-19,,1 ,2020-12-22,480,15:1681   ,,,n,2020-07-19
46227,3:20-cv-00663-jdp                       ,20,jdp ,2020-07-19,,1 ,2020-10-09,480,15:1681   ,,,n,2020-07-19
46228,3:20-cv-00664-jdp                       ,20,jdp ,2020-07-20,,1 ,2023-01-26,710,29:0201fl ,,,n,2020-07-20
46229,3:20-cv-00665-jdp                       ,20,jdp ,2020-07-20,,1 ,2020-11-18,480,15:1681   ,,,n,2020-07-20
46230,3:20-cv-00666-wmc                       ,20,wmc ,2020-07-20,,1 ,2021-02-01,470,18:1961   ,,,y,2020-07-20
46231,3:20-cv-00667-jdp                       ,20,jdp ,2020-07-20,,1 ,2022-09-02,550,28:1983   ,,,y,2020-07-20
46235,3:20-cv-00668-wmc                       ,20,wmc ,2020-07-20,,1 ,2021-05-04,550,28:1332pi ,,,y,2020-07-20
46243,3:20-cv-00675-wmc                       ,20,wmc ,2020-07-20,,1 ,2021-06-14,510,28:2255   ,,,y,2020-07-20
46234,3:20-cv-00669-bbc                       ,20,bbc ,2020-07-21,,1 ,2021-10-19,864,42:0405id ,,,n,2020-07-21
46236,3:20-cv-00670-bbc                       ,20,bbc ,2020-07-21,,1 ,2021-06-03,863,42:0405id ,,,n,2020-07-21
46237,3:20-cv-00671-wmc                       ,20,wmc ,2020-07-21,,1 ,2020-12-22,480,15:1692   ,,,n,2020-07-21
46238,3:20-cv-00672-jdp                       ,20,jdp ,2020-07-22,,1 ,2021-05-05,864,42:0405id ,,,n,2020-07-22
46239,3:20-cv-00673-jdp                       ,20,jdp ,2020-07-22,,1 ,2021-03-23,864,42:0405id ,,,n,2020-07-22
46242,3:20-cv-00674-wmc                       ,20,wmc ,2020-07-22,,1 ,2021-08-06,446,42:12101  ,,,n,2020-07-22
46244,3:20-cv-00676-jdp                       ,20,jdp ,2020-07-23,,1 ,2023-04-14,710,29:0201fl ,,,n,2020-07-23
46245,3:20-cv-00677-wmc                       ,20,wmc ,2020-07-24,,1 ,2021-08-03,864,42:0405id ,,,n,2020-07-24
46251,3:20-cv-00678-wmc                       ,20,wmc ,2020-07-24,,1 ,2021-02-10,864,42:0405id ,,,n,2020-07-24
46253,3:20-cv-00679-wmc                       ,20,wmc ,2020-07-24,,1 ,2021-07-27,550,42:1983pr ,,,y,2020-07-24
46256,3:20-cv-00680-wmc                       ,20,wmc ,2020-07-26,,1 ,,446,42:12101  ,,,n,2020-07-26
46257,3:20-cv-00681-wmc                       ,20,wmc ,2020-07-26,,1 ,,446,42:12101  ,,,n,2020-07-26
46258,3:20-cv-00682-wmc                       ,20,wmc ,2020-07-26,,1 ,,446,42:12101  ,,,n,2020-07-26
46259,3:20-cv-00683-wmc                       ,20,wmc ,2020-07-26,,1 ,2021-10-05,446,42:12101  ,,,n,2020-07-26
46260,3:20-cv-00684-wmc                       ,20,wmc ,2020-07-26,,1 ,,446,42:12101  ,,,n,2020-07-26
46261,3:20-cv-00685-wmc                       ,20,wmc ,2020-07-27,,1 ,2022-04-04,360,28:1332pi ,2,5,n,2020-07-27
46266,3:20-cv-00686-bbc                       ,20,bbc ,2020-07-27,,1 ,2020-12-04,550,42:1983pr ,,,y,2020-07-27
46267,3:20-cv-00687-wmc                       ,20,wmc ,2020-07-27,,1 ,2021-08-17,530,28:2254   ,,,y,2020-07-27
46278,3:20-cv-00692-wmc                       ,20,wmc ,2020-07-27,,1 ,2021-02-04,530,28:2254   ,,,y,2020-07-27
46268,3:20-cv-00688-jdp                       ,20,jdp ,2020-07-28,,1 ,2021-03-30,791,29:1001   ,,,n,2020-07-28
46269,3:20-cv-00689-wmc                       ,20,wmc ,2020-07-28,,1 ,2021-02-10,385,28:1332ac ,4,5,n,2020-07-28
46272,3:20-cv-00690-wmc                       ,20,wmc ,2020-07-28,,1 ,2021-07-14,864,42:0405id ,,,n,2020-07-28
46276,3:20-cv-00691-jdp                       ,20,jdp ,2020-07-28,,1 ,2021-02-01,190,28:1330   ,,,n,2020-07-28
46280,3:20-cv-00693-bbc                       ,20,bbc ,2020-07-29,,1 ,2021-07-09,865,42:0427   ,,,n,2020-07-29
46281,3:20-cv-00694-bbc                       ,20,bbc ,2020-07-29,,1 ,2020-09-11,550,42:1983pr ,,,y,2020-07-29
46284,3:20-cv-00695-wmc                       ,20,wmc ,2020-07-29,,1 ,2020-09-18,480,15:1692   ,,,n,2020-07-29
46285,3:20-cv-00696-jdp                       ,20,jdp ,2020-07-29,,1 ,2020-10-21,480,15:1692   ,,,n,2020-07-29
46286,3:20-cv-00697-jdp                       ,20,jdp ,2020-07-29,,1 ,2020-08-24,480,15:1692   ,,,n,2020-07-29
46288,3:20-cv-00699-bbc                       ,20,bbc ,2020-07-30,,1 ,2020-09-29,550,42:1983pr ,,,y,2020-07-30
46289,3:20-cv-00700-wmc                       ,20,wmc ,2020-07-30,,1 ,2022-01-14,864,42:0405id ,,,n,2020-07-30
46296,3:20-cv-00701-jdp                       ,20,jdp ,2020-07-30,,1 ,2020-09-01,791,29:1132   ,,,n,2020-07-30
46312,3:20-cv-00702-wmc                       ,20,wmc ,2020-07-30,,1 ,2020-09-11,440,42:1983cv ,,,y,2020-07-30
46313,3:20-cv-00703-wmc                       ,20,wmc ,2020-07-30,,1 ,2021-11-05,550,42:1983cv ,,,y,2020-07-30
46314,3:20-cv-00704-jdp                       ,20,jdp ,2020-07-30,,1 ,,550,42:1983pr ,,,y,2020-07-30
46315,3:20-cv-00705-wmc                       ,20,wmc ,2020-07-30,,1 ,,446,42:12101  ,,,n,2020-07-30
46316,3:20-cv-00706-wmc                       ,20,wmc ,2020-07-31,,1 ,2021-03-04,550,42:1983pr ,,,y,2020-07-31
46317,3:20-cv-00707-wmc                       ,20,wmc ,2020-07-31,,1 ,2021-08-26,864,42:0405id ,,,n,2020-07-31
46318,3:20-cv-00708-bbc                       ,20,bbc ,2020-07-31,,1 ,2020-10-08,550,42:1983pr ,,,y,2020-07-31
46319,3:20-cv-00709-jdp                       ,20,jdp ,2020-07-31,,1 ,2022-03-29,550,42:1983pr ,,,y,2020-07-31
46320,3:20-cv-00710-jdp                       ,20,jdp ,2020-07-31,,1 ,2020-09-29,550,28:1331   ,,,y,2020-07-31
46324,3:20-cv-00711-bbc                       ,20,bbc ,2020-07-31,,1 ,2020-08-18,550,28:1983   ,,,y,2020-07-31
46325,3:20-cv-00712-jdp                       ,20,jdp ,2020-07-31,,1 ,2020-08-04,550,42:1983pr ,,,y,2020-07-31
46326,3:20-cv-00713-jdp                       ,20,jdp ,2020-08-03,,1 ,2021-03-23,864,42:0405id ,,,n,2020-08-03
46327,3:20-cv-00714-bbc                       ,20,bbc ,2020-08-03,,1 ,2021-04-22,864,42:0405id ,,,n,2020-08-03
46330,3:20-cv-00715-wmc                       ,20,wmc ,2020-08-03,,1 ,2020-09-17,440,42:1983cv ,,,y,2020-08-03
46331,3:20-cv-00716-jdp                       ,20,jdp ,2020-08-03,,1 ,2021-05-27,864,42:0405id ,,,n,2020-08-03
46332,3:20-cv-00717-wmc                       ,20,wmc ,2020-08-03,,1 ,2021-11-01,791,29:1132   ,,,n,2020-08-03
46333,3:20-cv-00718-jdp                       ,20,jdp ,2020-08-04,,2 ,2021-11-15,195,28:1332ct ,1,5,n,2020-08-04
46334,3:20-cv-00719-wmc                       ,20,wmc ,2020-08-04,,1 ,2022-12-29,550,42:1983pr ,,,y,2020-08-04
46336,3:20-cv-00698-jdp                       ,20,jdp ,2020-08-04,,1 ,2020-09-29,480,15:1692   ,,,n,2020-08-04
46337,3:20-cv-00720-wmc                       ,20,wmc ,2020-08-04,,1 ,2020-10-09,480,15:1692   ,,,n,2020-08-04
46338,3:20-cv-00721-wmc                       ,20,wmc ,2020-08-04,,1 ,2022-09-15,864,42:0405id ,,,n,2020-08-04
46340,3:20-cv-00722-wmc                       ,20,wmc ,2020-08-04,,1 ,2022-03-02,863,42:0405wc ,,,n,2020-08-04
46341,3:20-cv-00723-jdp                       ,20,jdp ,2020-08-05,,1 ,2021-05-07,864,42:0405id ,,,n,2020-08-05
46346,3:20-cv-00724-slc                       ,20,slc ,2020-08-05,,2 ,2020-10-01,791,28:1441pr ,,,n,2020-08-05
46347,3:20-cv-00725-bbc                       ,20,bbc ,2020-08-05,2021-01-22,A ,2021-01-22,550,42:1983pr ,,,y,2021-01-22
46347,3:20-cv-00725-bbc                       ,20,bbc ,2020-08-05,2021-01-22,A ,2021-01-22,550,42:1983pr ,,,y,2021-01-22
46347,3:20-cv-00725-bbc                       ,20,bbc ,2020-08-05,2021-01-22,A ,2021-01-22,550,42:1983pr ,,,y,2021-01-22
46348,3:20-cv-00726-wmc                       ,20,wmc ,2020-08-05,2023-01-06,4 ,,550,42:1983pr ,,,y,2023-01-06
46348,3:20-cv-00726-wmc                       ,20,wmc ,2020-08-05,2023-01-06,4 ,,550,42:1983pr ,,,y,2023-01-06
