case_number,judge,date_filed,date_reopened,date_terminated,NOS,IsProse,group,is_prose,statistical_year
3:18-cv-00507-jdp,jdp,2018-07-02,,2019-09-23,442,n,Civil Rights,counseled,2019
3:18-cv-00509-jdp,jdp,2018-07-02,,2019-07-15,790,n,Labor,counseled,2019
3:18-cv-00508-jdp,jdp,2018-07-02,,2018-07-10,442,y,Civil Rights,pro se,2019
3:18-cv-00510-jdp,jdp,2018-07-03,,2019-12-18,440,y,Civil Rights,pro se,2019
3:18-cv-00511-slc,slc,2018-07-03,,2018-11-08,110,n,Contract,counseled,2019
3:18-cv-00512-jdp,jdp,2018-07-03,,2018-08-03,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00513-jdp,jdp,2018-07-03,,2018-08-03,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00517-wmc,wmc,2018-07-05,,2018-10-11,480,n,Other Statutes,counseled,2019
3:18-cv-00515-bbc,bbc,2018-07-05,,2019-07-25,440,y,Civil Rights,pro se,2019
3:18-cv-00514-jdp,jdp,2018-07-05,,2018-07-25,440,y,Civil Rights,pro se,2019
3:18-cv-00518-wmc,wmc,2018-07-06,,2019-04-03,190,n,Contract,counseled,2019
3:18-cv-00519-jdp,jdp,2018-07-09,,2018-10-15,791,n,Labor,counseled,2019
3:18-cv-00521-bbc,bbc,2018-07-09,,2018-11-01,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00522-slc,slc,2018-07-09,,2018-08-30,791,n,Labor,counseled,2019
3:18-cv-00516-bbc,bbc,2018-07-09,,2020-01-30,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00520-slc,slc,2018-07-09,,2020-08-11,530,y,Habeas Corpus,pro se,2019
3:18-cv-00523-wmc,wmc,2018-07-09,,2019-10-17,440,n,Civil Rights,counseled,2019
3:18-cv-00524-slc,slc,2018-07-09,,2020-10-09,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00525-bbc,bbc,2018-07-10,,2018-11-14,220,n,Real Property,counseled,2019
3:18-cv-00526-wmc,wmc,2018-07-10,,2019-11-18,864,n,Social Security,counseled,2019
3:18-cv-00527-jdp,jdp,2018-07-10,,2020-03-06,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00528-jdp,jdp,2018-07-10,,2020-03-09,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00529-wmc,wmc,2018-07-11,,2021-05-07,320,n,Torts/Personal Injury,counseled,2019
3:18-cv-00530-slc,slc,2018-07-11,,2019-11-05,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00531-wmc,wmc,2018-07-11,,2019-10-09,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00532-jdp,jdp,2018-07-11,,2019-08-28,195,n,Contract,counseled,2019
3:18-cv-00533-jdp,jdp,2018-07-11,,2018-08-23,480,n,Other Statutes,counseled,2019
3:18-cv-00534-jdp,jdp,2018-07-11,,2019-10-23,791,n,Labor,counseled,2019
3:18-cv-00535-jdp,jdp,2018-07-12,,2018-12-10,864,n,Social Security,counseled,2019
3:18-cv-00536-bbc,bbc,2018-07-12,,2019-03-13,864,n,Social Security,counseled,2019
3:18-cv-00537-jdp,jdp,2018-07-12,,2020-03-25,440,n,Civil Rights,counseled,2019
3:18-cv-00538-bbc,bbc,2018-07-12,,2019-02-12,422,n,Bankruptcy,counseled,2019
3:18-cv-00539-bbc,bbc,2018-07-13,,2018-10-19,443,n,Civil Rights,counseled,2019
3:18-cv-00540-jdp,jdp,2018-07-13,,2021-01-20,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00541-jdp,jdp,2018-07-13,,2020-06-15,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00542-wmc,wmc,2018-07-13,,2019-04-10,791,n,Labor,counseled,2019
3:18-cv-00543-jdp,jdp,2018-07-16,,2018-12-04,480,n,Other Statutes,counseled,2019
3:18-cv-00544-bbc,bbc,2018-07-16,,2019-02-14,863,n,Social Security,counseled,2019
3:18-cv-00545-jdp,jdp,2018-07-16,,2019-06-10,480,n,Other Statutes,counseled,2019
3:18-cv-00546-jdp,jdp,2018-07-16,,2018-08-17,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00547-slc,slc,2018-07-16,,2018-08-29,480,n,Other Statutes,counseled,2019
3:18-cv-00555-jdp,jdp,2018-07-16,,2021-03-26,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00548-slc,slc,2018-07-17,,2018-12-28,864,n,Social Security,counseled,2019
3:18-cv-00549-jdp,jdp,2018-07-17,,2019-03-13,864,n,Social Security,counseled,2019
3:18-cv-00550-wmc,wmc,2018-07-17,,2020-01-17,864,n,Social Security,counseled,2019
3:18-cv-00551-wmc,wmc,2018-07-17,,2018-10-11,791,n,Labor,counseled,2019
3:18-cv-00552-jdp,jdp,2018-07-17,,2019-06-28,550,n,Prisoner Petitions,counseled,2019
3:18-cv-00553-wmc,wmc,2018-07-17,,2018-08-10,442,n,Civil Rights,counseled,2019
18-554,wmc,2018-07-17,,,375,n,Personal Property,counseled,2019
3:18-cv-00556-bbc,bbc,2018-07-18,,2019-05-20,864,n,Social Security,counseled,2019
3:18-cv-00557-jdp,jdp,2018-07-18,,2019-06-04,865,n,Social Security,counseled,2019
3:18-cv-00558-bbc,bbc,2018-07-19,,2019-01-09,864,n,Social Security,counseled,2019
3:18-cv-00559-wmc,wmc,2018-07-19,,2019-04-11,791,n,Labor,counseled,2019
3:18-cv-00560-jdp,jdp,2018-07-19,,2018-12-27,863,n,Social Security,counseled,2019
3:18-cv-00561-wmc,wmc,2018-07-19,,2019-03-11,190,n,Contract,counseled,2019
3:18-cv-00562-wmc,wmc,2018-07-19,,2019-12-13,864,n,Social Security,counseled,2019
3:18-cv-00563-bbc,bbc,2018-07-19,,2020-01-29,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00564-bbc,bbc,2018-07-19,,2019-07-03,863,n,Social Security,counseled,2019
3:18-cv-00565-wmc,wmc,2018-07-20,,2019-10-31,864,n,Social Security,counseled,2019
3:18-cv-00566-wmc,wmc,2018-07-20,,2018-12-10,864,n,Social Security,counseled,2019
3:18-cv-00567-jdp,jdp,2018-07-20,,2019-03-21,440,n,Civil Rights,counseled,2019
3:18-cv-00568-wmc,wmc,2018-07-20,,2019-02-08,840,n,Intellectual Property Rights,counseled,2019
3:18-cv-00569-jdp,jdp,2018-07-20,,2018-08-30,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00570-jdp,jdp,2018-07-23,,2019-02-08,864,n,Social Security,counseled,2019
3:18-cv-00571-wmc,wmc,2018-07-23,,2022-06-09,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00572-wmc,wmc,2018-07-23,,2018-08-30,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00573-bbc,bbc,2018-07-24,,2019-04-10,863,n,Social Security,counseled,2019
3:18-cv-00574-bbc,bbc,2018-07-24,,2019-06-06,864,n,Social Security,counseled,2019
3:18-cv-00575-jdp,jdp,2018-07-24,,2019-06-18,440,n,Civil Rights,counseled,2019
3:18-cv-00577-bbc,bbc,2018-07-24,,2019-06-14,864,n,Social Security,counseled,2019
3:18-cv-00578-jdp,jdp,2018-07-24,,2018-07-31,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00579-jdp,jdp,2018-07-24,,2018-07-31,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00580-jdp,jdp,2018-07-24,,2019-10-07,470,n,Other Statutes,counseled,2019
3:18-cv-00581-jdp,jdp,2018-07-24,2018-09-19,2018-12-13,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00581-jdp,jdp,2018-07-24,2018-09-19,2018-12-13,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00582-jdp,jdp,2018-07-25,,2020-11-12,440,y,Civil Rights,pro se,2019
3:18-cv-00583-wmc,wmc,2018-07-25,,2020-03-10,830,n,Intellectual Property Rights,counseled,2019
3:18-cv-00585-bbc,bbc,2018-07-26,,2018-09-28,442,y,Civil Rights,pro se,2019
3:18-cv-00586-wmc,wmc,2018-07-26,,2019-01-04,367,n,Torts/Personal Injury,counseled,2019
3:18-cv-00584-jdp,jdp,2018-07-26,,2018-08-20,442,y,Civil Rights,pro se,2019
3:18-cv-00587-wmc,wmc,2018-07-26,,2019-03-28,830,n,Intellectual Property Rights,counseled,2019
3:18-cv-00588-wmc,wmc,2018-07-27,,2018-10-30,830,n,Intellectual Property Rights,counseled,2019
3:18-cv-00589-slc,slc,2018-07-27,,2019-08-06,791,n,Labor,counseled,2019
3:18-cv-00590-jdp,jdp,2018-07-27,,2019-01-11,720,n,Labor,counseled,2019
3:18-cv-00576-jdp,jdp,2018-07-27,,2019-11-15,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00591-jdp,jdp,2018-07-30,,2019-10-01,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00592-wmc,wmc,2018-07-31,,2019-04-12,870,n,Federal Tax Suits,counseled,2019
3:18-cv-00594-wmc,wmc,2018-07-31,,2019-05-13,480,n,Other Statutes,counseled,2019
3:18-cv-00593-wmc,wmc,2018-08-02,2019-06-24,2020-02-26,440,y,Civil Rights,pro se,2019
3:18-cv-00593-wmc,wmc,2018-08-02,2019-06-24,2020-02-26,440,y,Civil Rights,pro se,2019
3:18-cv-00595-bbc,bbc,2018-08-02,,2020-10-20,550,n,Prisoner Petitions,counseled,2019
3:18-cv-00597-wmc,wmc,2018-08-02,,2020-02-27,830,n,Intellectual Property Rights,counseled,2019
3:18-cv-00596-bbc,bbc,2018-08-02,2021-11-02,2022-02-03,530,y,Habeas Corpus,pro se,2019
3:18-cv-00596-bbc,bbc,2018-08-02,2021-11-02,2022-02-03,530,y,Habeas Corpus,pro se,2019
3:18-cv-00598-slc,slc,2018-08-03,,2018-10-05,110,n,Contract,counseled,2019
3:18-cv-00600-bbc,bbc,2018-08-03,,2018-09-20,530,y,Habeas Corpus,pro se,2019
3:18-cv-00599-bbc,bbc,2018-08-03,,2019-10-30,440,y,Civil Rights,pro se,2019
3:18-cv-00601-jdp,jdp,2018-08-06,,2018-11-16,440,y,Civil Rights,pro se,2019
3:18-cv-00602-jdp,jdp,2018-08-06,,2020-01-27,442,n,Civil Rights,counseled,2019
3:18-cv-00603-wmc,wmc,2018-08-06,,2019-07-29,360,n,Torts/Personal Injury,counseled,2019
3:18-cv-00604-jdp,jdp,2018-08-06,,2019-07-26,480,n,Other Statutes,counseled,2019
3:18-cv-00605-bbc,bbc,2018-08-06,,2019-07-12,864,n,Social Security,counseled,2019
3:18-cv-00606-bbc,bbc,2018-08-06,,2019-01-09,864,n,Social Security,counseled,2019
3:18-cv-00607-slc,slc,2018-08-06,,2019-09-27,864,n,Social Security,counseled,2019
3:18-cv-00608-bbc,bbc,2018-08-06,,2019-06-25,440,y,Civil Rights,pro se,2019
3:18-cv-00609-jdp,jdp,2018-08-06,,2019-07-31,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00610-bbc,bbc,2018-08-07,,2019-01-15,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00611-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00612-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00613-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00614-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00615-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00616-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00617-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00618-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00619-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00620-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00621-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00622-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00623-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00625-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00626-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00627-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00624-jdp,jdp,2018-08-07,,2020-01-28,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00628-jdp,jdp,2018-08-07,,2023-03-01,240,n,Real Property,counseled,2019
3:18-cv-00629-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00630-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00631-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00632-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00633-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00634-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00635-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00636-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00637-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00638-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00639-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00640-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00641-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00642-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00643-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00644-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00645-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00646-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00647-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00648-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00649-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00650-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00651-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00652-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00653-jdp,jdp,2018-08-07,,2023-03-01,290,n,Real Property,counseled,2019
3:18-cv-00655-wmc,wmc,2018-08-08,,2018-09-17,540,y,Prisoner Petitions,pro se,2019
3:18-cv-00657-jdp,jdp,2018-08-08,,2019-01-31,864,n,Social Security,counseled,2019
3:18-cv-00656-wmc,wmc,2018-08-08,,,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00654-jdp,jdp,2018-08-09,,2019-10-31,710,n,Labor,counseled,2019
3:18-cv-00658-jdp,jdp,2018-08-09,,2018-10-12,190,n,Contract,counseled,2019
3:18-cv-00659-jdp,jdp,2018-08-09,,2019-08-14,190,y,Contract,pro se,2019
3:18-cv-00660-wmc,wmc,2018-08-09,,2019-12-20,863,n,Social Security,counseled,2019
3:18-cv-00661-jdp,jdp,2018-08-09,,2018-09-12,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00662-bbc,bbc,2018-08-09,,2019-01-30,442,n,Civil Rights,counseled,2019
3:18-cv-00663-jdp,jdp,2018-08-10,,2018-11-29,480,n,Other Statutes,counseled,2019
3:18-cv-00664-wmc,wmc,2018-08-10,,2018-12-03,465,n,Immigration,counseled,2019
3:18-cv-00665-bbc,bbc,2018-08-10,,2019-09-03,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00666-jdp,jdp,2018-08-10,,2018-12-13,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00667-wmc,wmc,2018-08-13,,2019-12-18,690,n,Forfeiture/Penalty,counseled,2019
3:18-cv-00669-jdp,jdp,2018-08-13,2022-05-02,2023-06-01,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00669-jdp,jdp,2018-08-13,2022-05-02,2023-06-01,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00670-bbc,bbc,2018-08-13,,2018-11-16,530,y,Habeas Corpus,pro se,2019
3:18-cv-00671-jdp,jdp,2018-08-13,,2019-04-29,530,y,Habeas Corpus,pro se,2019
3:18-cv-00672-jdp,jdp,2018-08-13,,2019-04-01,710,n,Labor,counseled,2019
3:18-cv-00673-jdp,jdp,2018-08-13,,2020-04-20,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00668-wmc,wmc,2018-08-13,,2019-10-24,530,y,Habeas Corpus,pro se,2019
3:18-cv-00674-wmc,wmc,2018-08-14,,,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00675-wmc,wmc,2018-08-14,,2019-02-12,362,n,Torts/Personal Injury,counseled,2019
3:18-cv-00676-jdp,jdp,2018-08-14,,2018-11-06,445,n,Civil Rights,counseled,2019
3:18-cv-00677-jdp,jdp,2018-08-14,,2019-10-28,350,n,Torts/Personal Injury,counseled,2019
3:18-cv-00678-jdp,jdp,2018-08-15,,2020-09-24,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00679-bbc,bbc,2018-08-15,,2019-07-11,550,n,Prisoner Petitions,counseled,2019
3:18-cv-00680-jdp,jdp,2018-08-15,,2021-03-19,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00681-wmc,wmc,2018-08-15,2018-09-25,2018-11-05,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00681-wmc,wmc,2018-08-15,2018-09-25,2018-11-05,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00682-wmc,wmc,2018-08-16,,2019-11-12,367,n,Torts/Personal Injury,counseled,2019
3:18-cv-00683-bbc,bbc,2018-08-16,2019-02-04,2019-03-21,220,n,Real Property,counseled,2019
3:18-cv-00683-bbc,bbc,2018-08-16,2019-02-04,2019-03-21,220,n,Real Property,counseled,2019
3:18-cv-00684-jdp,jdp,2018-08-16,,2019-05-16,840,n,Intellectual Property Rights,counseled,2019
3:18-cv-00685-wmc,wmc,2018-08-16,,2019-07-30,110,y,Contract,pro se,2019
3:18-cv-00686-wmc,wmc,2018-08-17,,2020-01-31,865,n,Social Security,counseled,2019
3:18-cv-00687-wmc,wmc,2018-08-17,,2018-12-20,830,n,Intellectual Property Rights,counseled,2019
3:18-cv-00689-wmc,wmc,2018-08-17,,2018-09-20,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00688-jdp,jdp,2018-08-17,,2018-08-21,530,n,Habeas Corpus,counseled,2019
3:18-cv-00692-wmc,wmc,2018-08-17,,2018-08-20,440,y,Civil Rights,pro se,2019
3:18-cv-00690-jdp,jdp,2018-08-20,,2018-12-27,864,n,Social Security,counseled,2019
3:18-cv-00691-jdp,jdp,2018-08-20,,2019-04-24,864,n,Social Security,counseled,2019
3:18-cv-00693-jdp,jdp,2018-08-20,,2020-03-04,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00694-jdp,jdp,2018-08-20,,2019-04-29,863,n,Social Security,counseled,2019
3:18-cv-00695-wmc,wmc,2018-08-20,,2019-02-20,864,n,Social Security,counseled,2019
3:18-cv-00696-jdp,jdp,2018-08-20,,2019-01-24,864,n,Social Security,counseled,2019
3:18-cv-00697-wmc,wmc,2018-08-20,,2022-02-02,380,n,Personal Property,counseled,2019
3:18-cv-00698-jdp,jdp,2018-08-20,,2019-01-10,440,y,Civil Rights,pro se,2019
3:18-cv-00699-wmc,wmc,2018-08-20,,2022-09-14,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00701-wmc,wmc,2018-08-20,,2022-04-22,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00700-wmc,wmc,2018-08-21,,2018-12-11,820,n,Intellectual Property Rights,counseled,2019
3:18-cv-00702-jdp,jdp,2018-08-22,,2018-08-27,710,n,Labor,counseled,2019
3:18-cv-00703-wmc,wmc,2018-08-22,,2018-10-09,480,n,Other Statutes,counseled,2019
3:18-cv-00704-jdp,jdp,2018-08-22,,2018-10-18,190,n,Contract,counseled,2019
3:18-cv-00705-wmc,wmc,2018-08-23,,2019-10-01,442,y,Civil Rights,pro se,2019
3:18-cv-00706-jdp,jdp,2018-08-23,,2019-04-04,890,n,Other Statutes,counseled,2019
3:18-cv-00707-jdp,jdp,2018-08-23,,2019-03-05,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00708-jdp,jdp,2018-08-23,,2020-04-20,440,y,Civil Rights,pro se,2019
3:18-cv-00709-wmc,wmc,2018-08-24,,2019-02-22,865,n,Social Security,counseled,2019
3:18-cv-00710-jdp,jdp,2018-08-27,2019-02-04,2019-04-24,220,n,Real Property,counseled,2019
3:18-cv-00710-jdp,jdp,2018-08-27,2019-02-04,2019-04-24,220,n,Real Property,counseled,2019
3:18-cv-00712-jdp,jdp,2018-08-27,,2019-12-10,625,n,Forfeiture/Penalty,counseled,2019
3:18-cv-00713-jdp,jdp,2018-08-27,,2022-03-25,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00711-wmc,wmc,2018-08-27,,2020-03-02,863,y,Social Security,pro se,2019
3:18-cv-00714-bbc,bbc,2018-08-27,,2018-11-26,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00715-wmc,wmc,2018-08-27,,2020-09-16,560,y,Prisoner Petitions,pro se,2019
3:18-cv-00716-bbc,bbc,2018-08-27,,2018-10-18,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00962-bbc,bbc,2018-08-27,,2019-02-04,530,y,Habeas Corpus,pro se,2019
3:18-cv-00717-wmc,wmc,2018-08-28,,2019-05-09,480,n,Other Statutes,counseled,2019
3:18-cv-00719-wmc,wmc,2018-08-28,,2019-01-02,864,n,Social Security,counseled,2019
3:18-cv-00720-jdp,jdp,2018-08-28,,2019-01-31,864,n,Social Security,counseled,2019
3:18-cv-00721-slc,slc,2018-08-28,,2019-07-10,480,n,Other Statutes,counseled,2019
3:18-cv-00722-wmc,wmc,2018-08-28,,2018-10-23,380,n,Personal Property,counseled,2019
3:18-cv-00723-wmc,wmc,2018-08-28,,2019-09-30,190,n,Contract,counseled,2019
3:18-cv-00718-wmc,wmc,2018-08-28,,2018-11-05,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00724-wmc,wmc,2018-08-30,,2023-03-30,370,n,Personal Property,counseled,2019
3:18-cv-00725-jdp,jdp,2018-08-30,,2019-05-20,864,n,Social Security,counseled,2019
3:18-cv-00726-jdp,jdp,2018-08-30,2019-02-21,2019-11-20,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00726-jdp,jdp,2018-08-30,2019-02-21,2019-11-20,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00727-wmc,wmc,2018-08-31,,2018-12-04,840,n,Intellectual Property Rights,counseled,2019
3:18-cv-00728-jdp,jdp,2018-09-04,,2019-04-15,830,n,Intellectual Property Rights,counseled,2019
3:18-cv-00729-bbc,bbc,2018-09-04,,2020-02-20,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00730-wmc,wmc,2018-09-04,,2021-04-30,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00733-wmc,wmc,2018-09-04,,2018-09-25,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00732-jdp,jdp,2018-09-04,,2019-12-09,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00731-wmc,wmc,2018-09-04,,2019-10-08,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00734-wmc,wmc,2018-09-05,,2020-01-14,864,n,Social Security,counseled,2019
3:18-cv-00735-wmc,wmc,2018-09-05,,2018-10-11,370,n,Personal Property,counseled,2019
3:18-cv-00736-slc,slc,2018-09-05,,2019-11-06,440,n,Civil Rights,counseled,2019
3:18-cv-00737-jdp,jdp,2018-09-06,,2020-01-08,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00738-wmc,wmc,2018-09-06,,2019-03-06,480,n,Other Statutes,counseled,2019
3:18-cv-00739-slc,slc,2018-09-06,,2018-10-30,480,n,Other Statutes,counseled,2019
3:18-cv-00740-jdp,jdp,2018-09-07,,2018-12-20,625,n,Forfeiture/Penalty,counseled,2019
3:18-cv-00741-bbc,bbc,2018-09-07,,2019-10-03,863,n,Social Security,counseled,2019
3:18-cv-00742-wmc,wmc,2018-09-07,,2021-12-13,440,y,Civil Rights,pro se,2019
3:18-cv-00744-slc,slc,2018-09-07,,2018-09-26,840,n,Intellectual Property Rights,counseled,2019
3:18-cv-00743-bbc,bbc,2018-09-07,,2020-01-15,555,n,Prisoner Petitions,counseled,2019
3:18-cv-00745-jdp,jdp,2018-09-10,,2018-10-16,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00746-wmc,wmc,2018-09-10,,2021-08-02,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00747-jdp,jdp,2018-09-10,,2020-05-12,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00748-wmc,wmc,2018-09-10,,,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00749-jdp,jdp,2018-09-11,,2019-10-21,710,n,Labor,counseled,2019
3:18-cv-00750-jdp,jdp,2018-09-11,,2018-10-10,791,n,Labor,counseled,2019
3:18-cv-00751-wmc,wmc,2018-09-11,,2019-11-19,864,n,Social Security,counseled,2019
3:18-cv-00752-bbc,bbc,2018-09-11,,2019-07-10,870,n,Federal Tax Suits,counseled,2019
3:18-cv-00753-wmc,wmc,2018-09-11,2021-08-05,2021-08-16,480,n,Other Statutes,counseled,2019
3:18-cv-00753-wmc,wmc,2018-09-11,2021-08-05,2021-08-16,480,n,Other Statutes,counseled,2019
3:18-cv-00754-wmc,wmc,2018-09-12,,2019-01-16,220,n,Real Property,counseled,2019
3:18-cv-00755-wmc,wmc,2018-09-12,,2019-10-24,442,n,Civil Rights,counseled,2019
3:18-cv-00756-jdp,jdp,2018-09-12,,2018-12-11,530,y,Habeas Corpus,pro se,2019
3:18-cv-00757-jdp,jdp,2018-09-12,,2019-05-29,865,n,Social Security,counseled,2019
3:18-cv-00758-bbc,bbc,2018-09-13,,2019-11-14,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00759-slc,slc,2018-09-13,,2019-11-12,710,n,Labor,counseled,2019
3:18-cv-00760-jdp,jdp,2018-09-13,,2021-03-29,550,n,Prisoner Petitions,counseled,2019
3:18-cv-00762-jdp,jdp,2018-09-14,,2019-02-27,864,n,Social Security,counseled,2019
3:18-cv-00763-jdp,jdp,2018-09-14,,2019-01-29,441,n,Civil Rights,counseled,2019
3:18-cv-00764-bbc,bbc,2018-09-14,2019-07-17,2020-02-25,863,y,Social Security,pro se,2019
3:18-cv-00764-bbc,bbc,2018-09-14,2019-07-17,2020-02-25,863,y,Social Security,pro se,2019
3:18-cv-00765-jdp,jdp,2018-09-14,,2020-03-13,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00766-wmc,wmc,2018-09-14,,2018-11-26,510,y,Habeas Corpus,pro se,2019
3:18-cv-00767-wmc,wmc,2018-09-14,,2022-07-08,550,y,Prisoner Petitions,pro se,2019
