Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
47540,3:21-cv-00260-jdp                       ,21,jdp ,2021-04-19,,1 ,2021-06-25,550,42:1983pr ,,,y,2021-04-19
47541,3:21-cv-00261-slc                       ,21,slc ,2021-04-19,,1 ,2021-07-14,480,15:1692   ,,,n,2021-04-19
47542,3:21-cv-00262-jdp                       ,21,jdp ,2021-04-19,,2 ,2022-02-10,110,29:1132   ,,,n,2021-04-19
47543,3:21-cv-00263-wmc                       ,21,wmc ,2021-04-19,,1 ,2021-05-14,530,28:2241   ,,,y,2021-04-19
47545,3:21-cv-00264-jdp                       ,21,jdp ,2021-04-19,,1 ,2021-12-21,480,15:1692   ,,,n,2021-04-19
47547,3:21-cv-00265-bbc                       ,21,bbc ,2021-04-20,,1 ,2022-01-03,442,42:2000ra ,,,n,2021-04-20
47548,3:21-cv-00266-wmc                       ,21,wmc ,2021-04-20,,2 ,2021-06-01,190,28:1332ct ,4,5,n,2021-04-20
47549,3:21-cv-00267-jdp                       ,21,jdp ,2021-04-20,,5 ,2021-06-03,555,42:1983pr ,,,y,2021-04-20
47550,3:21-cv-00268-jdp                       ,21,jdp ,2021-04-21,,1 ,2021-10-01,791,29:1002   ,,,n,2021-04-21
47551,3:21-cv-00269-bbc                       ,21,bbc ,2021-04-21,,1 ,2021-09-22,550,42:1983pr ,,,y,2021-04-21
47552,3:21-cv-00270-bbc                       ,21,bbc ,2021-04-21,,1 ,2021-10-12,864,42:0405id ,,,n,2021-04-21
47553,3:21-cv-00271-wmc                       ,21,wmc ,2021-04-21,,1 ,2021-07-02,480,15:1692   ,,,n,2021-04-21
47556,3:21-cv-00272-bbc                       ,21,bbc ,2021-04-22,,1 ,2021-05-28,550,42:1983pr ,,,y,2021-04-22
47570,3:21-cv-00274-bbc                       ,21,bbc ,2021-04-23,,1 ,2022-09-27,550,42:1983pr ,,,y,2021-04-23
47571,3:21-cv-00275-jdp                       ,21,jdp ,2021-04-23,,1 ,2022-12-02,530,28:2241   ,,,n,2021-04-23
47574,3:21-cv-00276-bbc                       ,21,bbc ,2021-04-23,,1 ,2021-05-27,530,28:2241   ,,,y,2021-04-23
47575,3:21-cv-00277-bbc                       ,21,bbc ,2021-04-23,,1 ,2022-01-26,863,42:0405wc ,,,n,2021-04-23
47576,3:21-cv-00278-wmc                       ,21,wmc ,2021-04-25,,1 ,2022-05-06,370,28:1332fr ,1,2,n,2021-04-25
47577,3:21-cv-00279-wmc                       ,21,wmc ,2021-04-26,,1 ,,864,42:0405id ,,,n,2021-04-26
47578,3:21-cv-00280-jdp                       ,21,jdp ,2021-04-26,,1 ,2021-11-17,440,42:2000e  ,,,y,2021-04-26
47579,3:21-cv-00281-wmc                       ,21,wmc ,2021-04-26,,1 ,2022-06-13,446,42:12101  ,,,y,2021-04-26
47584,3:21-cv-00282-wmc                       ,21,wmc ,2021-04-26,,1 ,2022-05-05,863,42:0405id ,,,n,2021-04-26
47585,3:21-cv-00283-jdp                       ,21,jdp ,2021-04-27,,1 ,2022-09-28,710,29:0201fl ,,,n,2021-04-27
47587,3:21-cv-00273-jdp                       ,21,jdp ,2021-04-27,,1 ,,480,15:1692   ,,,n,2021-04-27
47606,3:21-cv-00293-jdp                       ,21,jdp ,2021-04-27,,1 ,2021-05-17,440,42:1983cv ,,,y,2021-04-27
47595,3:21-cv-00285-jdp                       ,21,jdp ,2021-04-28,,1 ,2022-01-12,791,29:1132   ,,,n,2021-04-28
47596,3:21-cv-00286-wmc                       ,21,wmc ,2021-04-28,,1 ,2022-04-22,440,42:1983cv ,,,y,2021-04-28
47597,3:21-cv-00287-jdp                       ,21,jdp ,2021-04-28,,1 ,,480,15:1692   ,,,n,2021-04-28
47600,3:21-cv-00284-jdp                       ,21,jdp ,2021-04-28,,1 ,2022-09-02,530,28:2241   ,,,y,2021-04-28
47601,3:21-cv-00288-jdp                       ,21,jdp ,2021-04-29,,1 ,2022-01-20,480,15:1692   ,,,n,2021-04-29
47602,3:21-cv-00289-wmc                       ,21,wmc ,2021-04-29,,1 ,2021-07-27,550,42:1983pr ,,,y,2021-04-29
47603,3:21-cv-00290-jdp                       ,21,jdp ,2021-04-29,,1 ,,710,29:0201do ,,,n,2021-04-29
47604,3:21-cv-00291-wmc                       ,21,wmc ,2021-04-29,,1 ,2022-05-31,110,28:1332bc ,4,5,n,2021-04-29
47605,3:21-cv-00292-jdp                       ,21,jdp ,2021-04-30,,1 ,,440,42:1983cv ,,,n,2021-04-30
47616,3:21-cv-00295-jdp                       ,21,jdp ,2021-04-30,,1 ,2021-08-18,840,15:1114   ,,,n,2021-04-30
47620,3:21-cv-00297-jdp                       ,21,jdp ,2021-05-03,,1 ,2022-02-02,480,15:1692   ,,,n,2021-05-03
47621,3:21-cv-00296-jdp                       ,21,jdp ,2021-05-03,,1 ,,530,28:2254   ,,,y,2021-05-03
47626,3:21-cv-00298-jdp                       ,21,jdp ,2021-05-03,,1 ,2022-10-07,550,42:1983pr ,,,y,2021-05-03
47629,3:21-cv-00300-wmc                       ,21,wmc ,2021-05-03,,1 ,2022-09-08,440,28:1983   ,,,y,2021-05-03
47630,3:21-cv-00301-bbc                       ,21,bbc ,2021-05-03,,1 ,2021-09-07,550,42:1983pr ,,,y,2021-05-03
47634,3:21-cv-00303-jdp                       ,21,jdp ,2021-05-04,,1 ,2021-09-07,485,47:227    ,,,n,2021-05-04
47633,3:21-cv-00302-jdp                       ,21,jdp ,2021-05-04,2023-05-26,3 ,,550,42:1983pr ,,,y,2023-05-26
47638,3:21-cv-00305-wmc                       ,21,wmc ,2021-05-05,,2 ,2022-08-30,190,28:1332bc ,4,5,n,2021-05-05
47639,3:21-cv-00306-wmc                       ,21,wmc ,2021-05-05,,1 ,2022-03-01,899,05:0702   ,,,n,2021-05-05
47640,3:21-cv-00304-wmc                       ,21,wmc ,2021-05-05,,1 ,2022-05-23,442,42:1983ed ,2,4,y,2021-05-05
47644,3:21-cv-00308-jdp                       ,21,jdp ,2021-05-06,,2 ,2021-08-18,190,28:1441bc ,,,n,2021-05-06
47645,3:21-cv-00309-wmc                       ,21,wmc ,2021-05-06,,1 ,2022-06-09,370,28:1332fr ,2,4,n,2021-05-06
47647,3:21-cv-00311-jdp                       ,21,jdp ,2021-05-07,,1 ,2021-12-03,864,42:0405id ,,,n,2021-05-07
47646,3:21-cv-00310-wmc                       ,21,wmc ,2021-05-07,,1 ,2022-05-13,870,26:7402   ,,,n,2021-05-07
47648,3:21-cv-00307-wmc                       ,21,wmc ,2021-05-07,,5 ,2021-10-06,365,28:1332pl ,2,5,n,2021-05-07
