Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
47965,3:21-cv-00476-jdp                       ,21,jdp ,2021-07-28,,1 ,2022-11-28,550,42:1983pr ,,,y,2021-07-28
47968,3:21-cv-00477-wmc                       ,21,wmc ,2021-07-28,,1 ,2023-03-23,830,35:0271   ,,,n,2021-07-28
47972,3:21-cv-00478-wmc                       ,21,wmc ,2021-07-29,,1 ,2021-11-04,485,47:227    ,,,n,2021-07-29
47975,3:21-cv-00479-wmc                       ,21,wmc ,2021-07-29,,2 ,2022-03-04,791,29:1001   ,,,y,2021-07-29
47976,3:21-cv-00480-wmc                       ,21,wmc ,2021-07-29,,2 ,2022-01-24,150,28:1330   ,1,2,n,2021-07-29
47984,3:21-cv-00483-wmc                       ,21,wmc ,2021-07-29,,1 ,2022-09-20,863,42:0405id ,,,y,2021-07-29
47977,3:21-cv-00481-wmc                       ,21,wmc ,2021-07-30,,1 ,2023-02-17,422,28:1334   ,,,n,2021-07-30
47985,3:21-cv-00484-wmc                       ,21,wmc ,2021-08-02,,1 ,2023-01-25,840,15:1114   ,,,y,2021-08-02
47986,3:21-cv-00482-wmc                       ,21,wmc ,2021-08-02,,1 ,2022-09-01,530,28:2241   ,,,n,2021-08-02
47988,3:21-cv-00486-bbc                       ,21,bbc ,2021-08-02,,1 ,2022-08-22,550,28:1331b  ,,,y,2021-08-02
47989,3:21-cv-00487-wmc                       ,21,wmc ,2021-08-02,,1 ,2022-09-23,560,42:1983cv ,,,y,2021-08-02
47987,3:21-cv-00485-bbc                       ,21,bbc ,2021-08-03,,1 ,2022-01-28,550,42:1983pr ,,,y,2021-08-03
47990,3:21-cv-00488-jdp                       ,21,jdp ,2021-08-03,,1 ,2021-09-22,550,42:1983pr ,,,y,2021-08-03
47993,3:21-cv-00489-wmc                       ,21,wmc ,2021-08-03,,2 ,2023-01-18,550,42:1983pr ,,,y,2021-08-03
47994,3:21-cv-00490-wmc                       ,21,wmc ,2021-08-04,,1 ,2022-03-31,864,42:0405id ,,,n,2021-08-04
47995,3:21-cv-00491-slc                       ,21,slc ,2021-08-04,,1 ,2022-03-04,865,42:0402   ,,,n,2021-08-04
47996,3:21-cv-00492-jdp                       ,21,jdp ,2021-08-05,,1 ,2023-03-02,530,28:2254   ,,,y,2021-08-05
47997,3:21-cv-00493-jdp                       ,21,jdp ,2021-08-05,,1 ,,550,42:1983pr ,,,y,2021-08-05
48001,3:21-cv-00494-wmc                       ,21,wmc ,2021-08-06,,1 ,2022-05-04,440,28:1983   ,,,n,2021-08-06
