de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
45672,9,cmp                      ,1,motion                   ,pwrithc ,10,2020-04-13,2020-04-13T15:04:35,661013,nln ,Nicole Nelson,crt,clk
45768,12,cmp                      ,1,motion                   ,pwrithc ,13,2020-04-29,2020-04-29T13:41:25,1446149,aom ,Amos Malone,crt,clk
45784,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-04-29,2020-04-30T10:15:26,1446149,aom ,Amos Malone,crt,clk
45846,10,cmp                      ,1,motion                   ,pwrithc ,11,2020-05-13,2020-05-13T12:26:22,1446149,aom ,Amos Malone,crt,clk
45850,13,cmp                      ,1,motion                   ,pwrithc ,14,2020-05-14,2020-05-14T10:38:43,1446149,aom ,Amos Malone,crt,clk
45866,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-05-18,2020-05-18T15:30:36,1446149,aom ,Amos Malone,crt,clk
45888,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-05-22,2020-05-22T11:22:52,1446149,aom ,Amos Malone,crt,clk
45895,7,cmp                      ,1,motion                   ,pwrithc ,8,2020-05-22,2020-05-22T16:40:28,24419,jef ,Joanne Friedl,crt,clk
45902,12,cmp                      ,1,motion                   ,pwrithc ,13,2020-05-26,2020-05-26T14:04:10,1446149,aom ,Amos Malone,crt,clk
45966,9,cmp                      ,1,motion                   ,pwrithc ,10,2020-06-04,2020-06-04T15:31:59,661013,nln ,Nicole Nelson,crt,clk
46024,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-06-15,2020-06-15T15:32:04,1446149,aom ,Amos Malone,crt,clk
46106,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-06-26,2020-06-26T15:15:52,1446149,aom ,Amos Malone,crt,clk
46267,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-07-27,2020-07-27T15:31:04,1446149,aom ,Amos Malone,crt,clk
46278,12,cmp                      ,1,motion                   ,pwrithc ,13,2020-07-27,2020-07-29T08:55:40,661013,nln ,Nicole Nelson,crt,clk
47996,15,cmp                      ,3,motion                   ,pwrithc ,16,2021-08-09,2021-08-09T11:59:56,1446149,aom ,Amos Malone,crt,clk
48007,6,motion                   ,1,motion                   ,pwrithc ,7,2014-10-06,2014-10-06T14:03:58,12573,lak ,Lynn Kamke,crt,clk
