de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
49033,53,prose                    ,15,order                    ,leave   ,55,2022-08-03,2022-08-03T15:50:08,19,voc ,Vivian Olmo,crt,clk
49093,46,oth_ord                  ,11,order                    ,leave   ,47,2022-08-05,2022-08-05T13:23:13,829931,jls ,Jaime Smith,crt,oth
49266,34,prose                    ,7,order                    ,leave   ,35,2022-08-15,2022-08-15T12:18:22,19,voc ,Vivian Olmo,crt,clk
49193,59,prose                    ,14,order                    ,leave   ,60,2022-08-16,2022-08-16T11:18:49,1353789,rks ,Rachel Swanson,crt,clk
48135,96,prose                    ,18,order                    ,leave   ,97,2022-08-19,2022-08-19T15:37:51,19,voc ,Vivian Olmo,crt,clk
49027,29,prose                    ,4,order                    ,leave   ,30,2022-08-19,2022-08-19T15:41:30,1353789,rks ,Rachel Swanson,crt,clk
46574,77,oth_ord                  ,19,order                    ,leave   ,78,2022-08-19,2022-08-19T15:59:27,829931,jls ,Jaime Smith,crt,oth
45747,90,prose                    ,25,order                    ,leave   ,91,2022-08-22,2022-08-22T15:49:05,1353789,rks ,Rachel Swanson,crt,clk
48785,89,prose                    ,22,order                    ,leave   ,90,2022-08-23,2022-08-23T15:19:56,1353789,rks ,Rachel Swanson,crt,clk
47884,75,oth_ord                  ,21,order                    ,leave   ,76,2022-08-26,2022-08-26T11:21:22,20284,jat ,Jennifer Titak,crt,oth
45779,63,prose                    ,12,order                    ,leave   ,64,2022-08-26,2022-08-26T16:20:35,19,voc ,Vivian Olmo,crt,clk
45285,56,oth_ord                  ,13,order                    ,leave   ,57,2022-08-29,2022-08-29T11:21:17,20284,jat ,Jennifer Titak,crt,oth
49072,29,oth_ord                  ,4,order                    ,leave   ,30,2022-08-30,2022-08-30T13:21:58,829931,jls ,Jaime Smith,crt,oth
47830,49,oth_ord                  ,10,order                    ,leave   ,50,2022-08-31,2022-08-31T13:07:33,829931,jls ,Jaime Smith,crt,oth
48763,41,oth_ord                  ,10,order                    ,leave   ,42,2022-08-31,2022-08-31T13:54:09,829931,jls ,Jaime Smith,crt,oth
46205,73,prose                    ,15,order                    ,leave   ,74,2022-08-31,2022-08-31T15:20:38,1353789,rks ,Rachel Swanson,crt,clk
46672,69,oth_ord                  ,16,order                    ,leave   ,70,2022-08-31,2022-08-31T17:17:45,20284,jat ,Jennifer Titak,crt,oth
45171,97,oth_ord                  ,20,order                    ,leave   ,98,2022-09-01,2022-09-01T13:10:23,829931,jls ,Jaime Smith,crt,oth
47997,47,oth_ord                  ,8,order                    ,leave   ,48,2022-09-01,2022-09-01T16:14:25,829931,jls ,Jaime Smith,crt,oth
46728,115,prose                    ,24,order                    ,leave   ,116,2022-09-06,2022-09-06T10:06:32,24419,jef ,Joanne Friedl,crt,clk
46679,39,oth_ord                  ,5,order                    ,leave   ,40,2022-09-08,2022-09-08T10:21:23,829931,jls ,Jaime Smith,crt,oth
46676,29,oth_ord                  ,5,order                    ,leave   ,30,2022-09-08,2022-09-08T10:21:23,829931,jls ,Jaime Smith,crt,oth
46677,22,oth_ord                  ,5,order                    ,leave   ,23,2022-09-08,2022-09-08T10:21:23,829931,jls ,Jaime Smith,crt,oth
46678,22,oth_ord                  ,5,order                    ,leave   ,23,2022-09-08,2022-09-08T10:21:23,829931,jls ,Jaime Smith,crt,oth
45405,229,oth_ord                  ,50,order                    ,leave   ,230,2022-09-12,2022-09-12T12:06:45,20284,jat ,Jennifer Titak,crt,oth
47993,147,oth_ord                  ,42,order                    ,leave   ,153,2022-09-14,2022-09-14T14:37:01,20284,jat ,Jennifer Titak,crt,oth
