Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
48094,3:21-cv-00545-jdp                       ,jdp ,2021-08-26,,,550,42:1983pr ,,,y,2021-08-26,Prisoner Petitions
48095,3:21-cv-00546-jdp                       ,jdp ,2021-08-26,,2022-07-13,440,42:1983cv ,,,y,2021-08-26,Civil Rights
48096,3:21-cv-00547-jdp                       ,jdp ,2021-08-26,,2022-07-13,440,42:1983cv ,,,y,2021-08-26,Civil Rights
48097,3:21-cv-00548-jdp                       ,jdp ,2021-08-27,,2022-09-28,791,29:1132   ,,,n,2021-08-27,Labor
48098,3:21-cv-00549-jdp                       ,jdp ,2021-08-27,,2022-10-31,442,29:0791   ,,,n,2021-08-27,Civil Rights
48099,3:21-cv-00550-jdp                       ,jdp ,2021-08-27,,2023-02-10,820,17:0101   ,,,n,2021-08-27,Property Rights
48100,3:21-cv-00551-jdp                       ,jdp ,2021-08-27,,2022-01-12,190,28:1332oc ,2,1,n,2021-08-27,Contract
48111,3:21-cv-00553-wmc                       ,wmc ,2021-08-31,,2022-01-06,110,28:1332in ,1,5,n,2021-08-31,﻿Contract
48112,3:21-cv-00554-wmc                       ,wmc ,2021-09-01,,2022-03-02,480,15:1692   ,,,n,2021-09-01,Other Statutes
48126,3:21-cv-00555-jdp                       ,jdp ,2021-09-02,,,440,42:1983cv ,,,y,2021-09-02,Civil Rights
48128,3:21-cv-00556-wmc                       ,wmc ,2021-09-03,,2022-03-07,791,29:1132   ,,,n,2021-09-03,Labor
48129,3:21-cv-00557-wmc                       ,wmc ,2021-09-03,,2023-04-12,625,21:0881   ,,,y,2021-09-03,Forfeiture/Penalty 
48131,3:21-cv-00558-jdp                       ,jdp ,2021-09-07,,2021-11-02,550,42:1983pr ,,,y,2021-09-07,Prisoner Petitions
48132,3:21-cv-00559-wmc                       ,wmc ,2021-09-07,,,864,42:0405id ,,,n,2021-09-07,Social Security
48133,3:21-cv-00560-wmc                       ,wmc ,2021-09-07,,,446,42:1983cv ,,,n,2021-09-07,Civil Rights
48134,3:21-cv-00561-wmc                       ,wmc ,2021-09-07,,2022-09-09,350,28:1346tc ,,,n,2021-09-07,Torts/Personal Injury
48135,3:21-cv-00562-jdp                       ,jdp ,2021-09-08,,,550,42:1983pr ,,,y,2021-09-08,Prisoner Petitions
48138,3:21-cv-00563-wmc                       ,wmc ,2021-09-08,,2021-12-10,465,28:1651mn ,,,n,2021-09-08,Immigration
48139,3:21-cv-00564-jdp                       ,jdp ,2021-09-09,,2022-09-14,864,42:0405id ,,,n,2021-09-09,Social Security
48140,3:21-cv-00565-wmc                       ,wmc ,2021-09-09,,,440,42:1983cv ,,,n,2021-09-09,Civil Rights
48145,3:21-cv-00566-slc                       ,slc ,2021-09-10,,2021-12-17,380,28:1346tc ,,,n,2021-09-10,Personal Property
48146,3:21-cv-00567-wmc                       ,wmc ,2021-09-10,,2021-10-27,550,42:1983pr ,,,y,2021-09-10,Prisoner Petitions
48147,3:21-cv-00568-wmc                       ,wmc ,2021-09-10,,2021-10-27,550,42:1983pr ,,,y,2021-09-10,Prisoner Petitions
48148,3:21-cv-00569-slc                       ,slc ,2021-09-10,,2022-03-15,864,42:0405id ,,,n,2021-09-10,Social Security
