Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41258,3:18-cv-00091-slc                       ,slc,2018-02-09,,2020-04-07,550,2018-02-09,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-02-09
41272,3:18-cv-00100-wmc                       ,wmc,2018-02-14,,2018-04-19,864,2018-02-14,Social Security,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-02-14
41273,3:18-cv-00101-wmc                       ,wmc,2018-02-14,,2018-04-19,863,2018-02-14,Social Security,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-02-14
41295,3:18-cv-00106-wmc                       ,wmc,2018-02-15,,2018-04-19,863,2018-02-15,Social Security,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-02-15
41305,3:18-cv-00107-jdp                       ,jdp,2018-02-15,,2019-05-20,555,2018-02-15,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-02-15
41317,3:18-cv-00110-bbc                       ,bbc,2018-02-16,,2021-07-02,555,2018-02-16,Prisoner Petitions,19,cmp                      ,1,cmp                      ,cmp     ,20,2018-02-16
41324,3:18-cv-00116-wmc                       ,wmc,2018-02-19,,2021-05-27,550,2018-02-19,Prisoner Petitions,17,cmp                      ,1,cmp                      ,cmp     ,18,2018-02-19
41328,3:18-cv-00118-wmc                       ,wmc,2018-02-20,,2019-12-11,550,2018-02-20,Prisoner Petitions,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-02-20
41344,3:18-cv-00126-wmc                       ,wmc,2018-02-22,,2020-10-15,550,2018-02-22,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-02-22
41345,3:18-cv-00123-wmc                       ,wmc,2018-02-22,,2019-05-14,555,2018-02-22,Prisoner Petitions,22,cmp                      ,1,cmp                      ,cmp     ,23,2018-02-22
