Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
41249,3:18-cv-00085-jdp                       ,jdp ,2018-02-08,,2019-02-25,864,42:0205   ,,,y,2018-02-08,Social Security
41258,3:18-cv-00091-slc                       ,slc ,2018-02-09,,2020-04-07,550,42:1983pr ,,,y,2018-02-09,Prisoner Petitions
41267,3:18-cv-00095-wmc                       ,wmc ,2018-02-13,,2018-05-30,530,28:2254   ,,,y,2018-02-13,Habeas Corpus
41272,3:18-cv-00100-wmc                       ,wmc ,2018-02-14,,2018-04-19,864,42:0427   ,,,y,2018-02-14,Social Security
41273,3:18-cv-00101-wmc                       ,wmc ,2018-02-14,,2018-04-19,863,42:0206   ,,,y,2018-02-14,Social Security
41274,3:18-cv-00102-jdp                       ,jdp ,2018-02-14,,2018-05-31,530,28:2254   ,,,y,2018-02-14,Habeas Corpus
41295,3:18-cv-00106-wmc                       ,wmc ,2018-02-15,,2018-04-19,863,42:0405wc ,,,y,2018-02-15,Social Security
41305,3:18-cv-00107-jdp                       ,jdp ,2018-02-15,,2019-05-20,555,42:1983pr ,,,y,2018-02-15,Prisoner Petitions
41317,3:18-cv-00110-bbc                       ,bbc ,2018-02-16,,2021-07-02,555,42:1983pr ,,,y,2018-02-16,Prisoner Petitions
41324,3:18-cv-00116-wmc                       ,wmc ,2018-02-19,2023-03-24,,550,42:1983pr ,,,y,2023-03-24,Prisoner Petitions
41328,3:18-cv-00118-wmc                       ,wmc ,2018-02-20,,2019-12-11,550,42:1983pr ,,,y,2018-02-20,Prisoner Petitions
41329,3:18-cv-00119-bbc                       ,bbc ,2018-02-20,,2018-05-21,530,28:2254   ,,,y,2018-02-20,Habeas Corpus
41344,3:18-cv-00126-wmc                       ,wmc ,2018-02-22,,2020-10-15,550,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41345,3:18-cv-00123-wmc                       ,wmc ,2018-02-22,,2019-05-14,555,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41346,3:18-cv-00127-wmc                       ,wmc ,2018-02-22,,2020-01-07,550,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41349,3:18-cv-00129-jdp                       ,jdp ,2018-02-22,,2018-06-19,445,29:0794   ,,,y,2018-02-22,Civil Rights
41357,3:18-cv-00131-wmc                       ,wmc ,2018-02-22,,2019-04-15,555,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41363,3:18-cv-00130-jdp                       ,jdp ,2018-02-22,,2020-03-26,555,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41361,3:18-cv-00134-wmc                       ,wmc ,2018-02-23,,2020-02-06,555,42:1983pr ,,,y,2018-02-23,Prisoner Petitions
41367,3:18-cv-00136-jdp                       ,jdp ,2018-02-26,,2018-12-14,864,42:0405id ,,,y,2018-02-26,Social Security
41368,3:18-cv-00138-wmc                       ,wmc ,2018-02-27,,2023-01-05,550,42:1983pr ,,,y,2018-02-27,Prisoner Petitions
41376,3:18-cv-00142-wmc                       ,wmc ,2018-02-28,2023-01-18,2023-03-27,555,42:1983pr ,,,y,2023-01-18,Prisoner Petitions
41382,3:18-cv-00143-wmc                       ,wmc ,2018-03-01,,2018-09-17,530,28:2254   ,,,y,2018-03-01,Habeas Corpus
41392,3:18-cv-00148-bbc                       ,bbc ,2018-03-02,,2019-04-18,895,05:0552fi ,,,y,2018-03-02,Other Statutes
41394,3:18-cv-00152-wmc                       ,wmc ,2018-03-05,,2021-07-20,555,42:1983pr ,,,y,2018-03-05,Prisoner Petitions
41423,3:18-cv-00160-jdp                       ,jdp ,2018-03-08,,2018-12-12,550,42:1983pr ,,,y,2018-03-08,Prisoner Petitions
41424,3:18-cv-00161-jdp                       ,jdp ,2018-03-08,,2018-08-27,555,42:1983pr ,,,y,2018-03-08,Prisoner Petitions
41425,3:18-cv-00162-jdp                       ,jdp ,2018-03-08,,2018-12-12,555,42:1983pr ,,,y,2018-03-08,Prisoner Petitions
41441,3:18-cv-00176-wmc                       ,wmc ,2018-03-12,,2020-01-07,550,42:1983pr ,,,y,2018-03-12,Prisoner Petitions
41442,3:18-cv-00170-jdp                       ,jdp ,2018-03-12,,2018-04-23,530,28:2254   ,,,y,2018-03-12,Habeas Corpus
41443,3:18-cv-00171-jdp                       ,jdp ,2018-03-12,,2018-08-20,865,42:0205   ,,,y,2018-03-12,Social Security
41444,3:18-cv-00172-bbc                       ,bbc ,2018-03-12,,2018-04-12,555,42:1983pr ,,,y,2018-03-12,Prisoner Petitions
41453,3:18-cv-00180-jdp                       ,jdp ,2018-03-13,,2018-06-05,540,28:1331   ,,,y,2018-03-13,Prisoner Petitions
41456,3:18-cv-00182-jdp                       ,jdp ,2018-03-14,,2018-03-27,550,42:1983pr ,,,y,2018-03-14,Prisoner Petitions
41457,3:18-cv-00184-bbc                       ,bbc ,2018-03-14,,2018-10-24,555,42:1983pr ,,,y,2018-03-14,Prisoner Petitions
41458,3:18-cv-00183-wmc                       ,wmc ,2018-03-14,,2022-09-23,550,42:1983pr ,,,y,2018-03-14,Prisoner Petitions
41459,3:18-cv-00185-jdp                       ,jdp ,2018-03-15,,2020-12-18,530,28:2254   ,,,y,2018-03-15,Habeas Corpus
41464,3:18-cv-00189-slc                       ,slc ,2018-03-16,,2021-04-20,555,42:1983pr ,,,y,2018-03-16,Prisoner Petitions
41468,3:18-cv-00190-wmc                       ,wmc ,2018-03-16,,2018-11-27,555,42:1983pr ,,,y,2018-03-16,Prisoner Petitions
41473,3:18-cv-00194-wmc                       ,wmc ,2018-03-19,,2021-01-05,555,42:1983pr ,,,y,2018-03-19,Prisoner Petitions
41474,3:18-cv-00193-wmc                       ,wmc ,2018-03-19,,2019-09-26,550,42:1983pr ,,,y,2018-03-19,Prisoner Petitions
41475,3:18-cv-00195-wmc                       ,wmc ,2018-03-19,,2022-03-22,550,28:1331b  ,,,y,2018-03-19,Prisoner Petitions
41481,3:18-cv-00196-bbc                       ,bbc ,2018-03-20,,2018-04-05,440,28:1331   ,,,y,2018-03-20,Civil Rights
41483,3:18-cv-00200-wmc                       ,wmc ,2018-03-21,,2018-10-22,555,42:1983pr ,,,y,2018-03-21,Prisoner Petitions
41493,3:18-cv-00205-bbc                       ,bbc ,2018-03-23,,2018-07-30,550,42:1983pr ,,,y,2018-03-23,Prisoner Petitions
41496,3:18-cv-00206-wmc                       ,wmc ,2018-03-23,,2018-06-25,864,42:0405id ,,,y,2018-03-23,Social Security
41499,3:18-cv-00208-bbc                       ,bbc ,2018-03-23,,2019-09-10,550,42:1983pr ,,,y,2018-03-23,Prisoner Petitions
41500,3:18-cv-00210-wmc                       ,wmc ,2018-03-26,,2022-01-27,510,28:2255   ,,,y,2018-03-26,Habeas Corpus
41501,3:18-cv-00211-jdp                       ,jdp ,2018-03-26,,2018-05-02,550,42:1983pr ,,,y,2018-03-26,Prisoner Petitions
41502,3:18-cv-00209-wmc                       ,wmc ,2018-03-26,,2019-05-14,440,42:1983cv ,,,y,2018-03-26,Civil Rights
41503,3:18-cv-00212-jdp                       ,jdp ,2018-03-26,,2018-03-27,510,28:2255   ,,,y,2018-03-26,Habeas Corpus
41504,3:18-cv-00213-jdp                       ,jdp ,2018-03-26,,2018-10-09,530,28:2254   ,,,y,2018-03-26,Habeas Corpus
41505,3:18-cv-00214-jdp                       ,jdp ,2018-03-27,,2018-09-18,864,42:0405id ,,,y,2018-03-27,Social Security
41509,3:18-cv-00217-wmc                       ,wmc ,2018-03-28,,2018-11-26,555,42:1983pr ,,,y,2018-03-28,Prisoner Petitions
41511,3:18-cv-00219-bbc                       ,bbc ,2018-03-28,,2018-04-23,550,28:1441pr ,,,y,2018-03-28,Prisoner Petitions
41513,3:18-cv-00221-slc                       ,slc ,2018-03-28,,2018-09-26,480,15:1692   ,,,y,2018-03-28,Other Statutes
