de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
45683,18,oth_ord                  ,,motion                   ,dummyscr,19,2020-05-01,2020-05-01T15:07:25,24419,jef ,Joanne Friedl,crt,clk
45587,27,oth_ord                  ,,motion                   ,dummyscr,28,2020-05-04,2020-05-04T16:18:13,661013,nln ,Nicole Nelson,crt,clk
45707,23,oth_ord                  ,,motion                   ,dummyscr,24,2020-06-01,2020-06-01T16:22:09,661013,nln ,Nicole Nelson,crt,clk
45749,39,oth_ord                  ,,motion                   ,dummyscr,40,2020-06-12,2020-06-12T14:00:54,24419,jef ,Joanne Friedl,crt,clk
45943,38,oth_ord                  ,,motion                   ,dummyscr,39,2020-06-12,2020-06-12T15:16:40,1446149,aom ,Amos Malone,crt,clk
43340,250,oth_ord                  ,,motion                   ,dummyscr,251,2020-06-12,2020-06-12T15:14:59,1446149,aom ,Amos Malone,crt,clk
46068,32,motion                   ,4.0,motion                   ,dummyscr,33,2020-06-24,2020-06-24T11:01:29,1446149,aom ,Amos Malone,crt,clk
45986,44,oth_ord                  ,,motion                   ,dummyscr,45,2020-07-06,2020-07-06T16:43:48,661013,nln ,Nicole Nelson,crt,clk
46013,32,oth_ord                  ,,motion                   ,dummyscr,33,2020-07-06,2020-07-06T16:46:31,661013,nln ,Nicole Nelson,crt,clk
45425,68,oth_ord                  ,,motion                   ,dummyscr,69,2020-07-10,2020-07-10T12:53:04,24419,jef ,Joanne Friedl,crt,clk
45426,83,oth_ord                  ,,motion                   ,dummyscr,84,2020-07-10,2020-07-10T12:53:04,24419,jef ,Joanne Friedl,crt,clk
46220,15,oth_ord                  ,,motion                   ,dummyscr,16,2020-07-17,2020-07-17T16:32:13,24419,jef ,Joanne Friedl,crt,clk
46205,41,oth_ord                  ,,motion                   ,dummyscr,42,2020-07-27,2020-07-27T16:01:38,661013,nln ,Nicole Nelson,crt,clk
46325,15,oth_ord                  ,,motion                   ,dummyscr,16,2020-08-03,2020-08-03T15:43:43,24419,jef ,Joanne Friedl,crt,clk
46324,23,oth_ord                  ,,motion                   ,dummyscr,24,2020-08-07,2020-08-07T15:06:22,1446149,aom ,Amos Malone,crt,clk
46231,53,oth_ord                  ,,motion                   ,dummyscr,54,2020-08-12,2020-08-12T13:04:39,24419,jef ,Joanne Friedl,crt,clk
47993,47,oth_ord                  ,,motion                   ,dummyscr,48,2021-08-06,2021-08-06T11:20:12,1489502,lam ,Laura Miller,crt,clk
47704,64,oth_ord                  ,,motion                   ,dummyscr,65,2021-08-06,2021-08-06T16:34:05,24419,jef ,Joanne Friedl,crt,clk
47705,115,oth_ord                  ,,motion                   ,dummyscr,116,2021-08-06,2021-08-06T16:35:04,24419,jef ,Joanne Friedl,crt,clk
47825,32,oth_ord                  ,,motion                   ,dummyscr,33,2021-08-27,2021-08-27T17:31:43,24419,jef ,Joanne Friedl,crt,clk
47763,41,oth_ord                  ,,motion                   ,dummyscr,42,2021-08-30,2021-08-30T16:51:34,24419,jef ,Joanne Friedl,crt,clk
48184,14,oth_ord                  ,,motion                   ,dummyscr,15,2021-09-16,2021-09-16T17:59:02,24419,jef ,Joanne Friedl,crt,clk
45848,58,oth_ord                  ,,motion                   ,dummyscr,59,2021-09-23,2021-09-23T13:39:54,24419,jef ,Joanne Friedl,crt,clk
45405,206,oth_ord                  ,,motion                   ,dummyscr,207,2021-09-23,2021-09-23T14:49:51,24419,jef ,Joanne Friedl,crt,clk
43156,158,oth_ord                  ,,motion                   ,dummyscr,159,2021-09-23,2021-09-23T16:55:19,24419,jef ,Joanne Friedl,crt,clk
48171,30,oth_ord                  ,,motion                   ,dummyscr,31,2021-09-27,2021-09-27T16:34:29,24419,jef ,Joanne Friedl,crt,clk
48247,17,oth_ord                  ,,motion                   ,dummyscr,18,2021-10-01,2021-10-01T12:42:05,1446149,aom ,Amos Malone,crt,clk
48263,18,oth_ord                  ,,motion                   ,dummyscr,19,2021-10-06,2021-10-06T16:49:33,1446149,aom ,Amos Malone,crt,clk
48185,23,oth_ord                  ,,motion                   ,dummyscr,24,2021-10-12,2021-10-12T16:42:18,24419,jef ,Joanne Friedl,crt,clk
48291,36,oth_ord                  ,,motion                   ,dummyscr,37,2021-10-13,2021-10-13T14:00:31,1446149,aom ,Amos Malone,crt,clk
48274,26,oth_ord                  ,,motion                   ,dummyscr,27,2021-10-14,2021-10-14T10:16:13,24419,jef ,Joanne Friedl,crt,clk
48307,26,oth_ord                  ,,motion                   ,dummyscr,27,2021-10-18,2021-10-18T09:03:53,1446149,aom ,Amos Malone,crt,clk
48336,18,oth_ord                  ,,motion                   ,dummyscr,19,2021-10-22,2021-10-22T14:50:47,1446149,aom ,Amos Malone,crt,clk
48348,19,oth_ord                  ,,motion                   ,dummyscr,20,2021-10-26,2021-10-26T09:15:35,1446149,aom ,Amos Malone,crt,clk
48364,17,oth_ord                  ,,motion                   ,dummyscr,18,2021-10-28,2021-10-28T12:26:40,1446149,aom ,Amos Malone,crt,clk
48353,20,oth_ord                  ,,motion                   ,dummyscr,21,2021-10-29,2021-10-29T14:04:04,24419,jef ,Joanne Friedl,crt,clk
48372,11,oth_ord                  ,,motion                   ,dummyscr,12,2021-11-01,2021-11-01T15:01:00,1446149,aom ,Amos Malone,crt,clk
48429,22,oth_ord                  ,,motion                   ,dummyscr,23,2021-11-12,2021-11-12T11:31:28,1446149,aom ,Amos Malone,crt,clk
48476,42,oth_ord                  ,,motion                   ,dummyscr,43,2021-11-18,2021-11-18T16:24:05,24419,jef ,Joanne Friedl,crt,clk
48232,46,oth_ord                  ,,motion                   ,dummyscr,47,2021-11-30,2021-11-30T09:05:11,1446149,aom ,Amos Malone,crt,clk
48429,50,oth_ord                  ,,motion                   ,dummyscr,51,2021-11-30,2021-11-30T09:41:40,1446149,aom ,Amos Malone,crt,clk
48445,40,oth_ord                  ,,motion                   ,dummyscr,41,2021-12-01,2021-12-01T12:50:14,1489502,lam ,Laura Miller,crt,clk
48369,30,oth_ord                  ,,motion                   ,dummyscr,31,2021-12-03,2021-12-03T16:04:55,1489502,lam ,Laura Miller,crt,clk
48562,28,oth_ord                  ,,motion                   ,dummyscr,29,2021-12-10,2021-12-10T14:27:41,1446149,aom ,Amos Malone,crt,clk
48529,42,oth_ord                  ,,motion                   ,dummyscr,43,2021-12-17,2021-12-17T15:24:21,24419,jef ,Joanne Friedl,crt,clk
48605,11,oth_ord                  ,,motion                   ,dummyscr,12,2021-12-23,2021-12-23T15:55:09,1446149,aom ,Amos Malone,crt,clk
48606,20,oth_ord                  ,,motion                   ,dummyscr,21,2021-12-23,2021-12-23T16:29:01,1446149,aom ,Amos Malone,crt,clk
48708,32,oth_ord                  ,,motion                   ,dummyscr,33,2022-01-19,2022-01-19T14:40:02,1446149,aom ,Amos Malone,crt,clk
48709,20,oth_ord                  ,,motion                   ,dummyscr,21,2022-01-19,2022-01-19T15:14:07,1446149,aom ,Amos Malone,crt,clk
48710,27,oth_ord                  ,,motion                   ,dummyscr,28,2022-01-19,2022-01-19T15:14:07,1446149,aom ,Amos Malone,crt,clk
48491,42,oth_ord                  ,,motion                   ,dummyscr,43,2022-02-15,2022-02-15T14:05:41,24419,jef ,Joanne Friedl,crt,clk
48784,38,oth_ord                  ,,motion                   ,dummyscr,39,2022-02-15,2022-02-15T17:05:35,24419,jef ,Joanne Friedl,crt,clk
48862,12,oth_ord                  ,,motion                   ,dummyscr,13,2022-02-28,2022-02-28T16:23:06,1446149,aom ,Amos Malone,crt,clk
